No,Problem,Category,Difficulty,Frequency,Key Idea,Time,Space,Common Trap
1,Reverse a string,String,Easy,Very High,Slice with s[::-1],O(n),O(n),Strings are immutable so you cannot reverse in place
2,Check if a string is a palindrome,String,Easy,Very High,Compare s to s[::-1] or use two pointers,O(n),O(1),Forgetting to normalise case and strip non-alphanumerics
3,Count vowels in a string,String,Easy,High,Sum a membership test over a vowel set,O(n),O(1),Not lowercasing so uppercase vowels are missed
4,Check if two strings are anagrams,String,Easy,Very High,Compare Counter(a) to Counter(b),O(n),O(k),Sorting works but is O(n log n); ignoring spaces and case
5,Count character frequency,String,Easy,High,collections.Counter,O(n),O(k),Reinventing Counter with a manual dict
6,Remove duplicate characters keeping order,String,Easy,Medium,dict.fromkeys preserves insertion order,O(n),O(n),Using a set alone destroys the original order
7,Find the first non-repeating character,String,Easy,High,Count first then scan in order,O(n),O(k),A nested loop makes it O(n^2)
8,Capitalise the first letter of each word,String,Easy,Medium,str.title or split-capitalise-join,O(n),O(n),"title() mangles apostrophes: ""o'brien"" becomes ""O'Brien"""
9,Count words in a sentence,String,Easy,Medium,len(s.split()),O(n),O(n),split(' ') creates empty strings on double spaces
10,Reverse the word order in a sentence,String,Easy,High,' '.join(s.split()[::-1]),O(n),O(n),Reversing characters instead of words
11,Check if a string contains only digits,String,Easy,Low,str.isdigit,O(n),O(1),isdigit is True for superscripts; negatives and decimals fail
12,Longest word in a sentence,String,Easy,Medium,"max(s.split(), key=len)",O(n),O(n),Not handling the empty-string case
13,Remove all whitespace from a string,String,Easy,Low,''.join(s.split()),O(n),O(n),strip() only removes leading and trailing whitespace
14,Check if a string is a pangram,String,Easy,Low,Compare the letter set to ascii_lowercase,O(n),O(1),Forgetting to filter out non-letters
15,Toggle the case of each character,String,Easy,Low,str.swapcase,O(n),O(n),Manual looping when a builtin exists
16,Factorial of a number,Number,Easy,Very High,Iterative product or math.factorial,O(n),O(1),Recursion hits the stack limit; 0! is 1
17,Nth Fibonacci number,Number,Easy,Very High,Iterate with two rolling variables,O(n),O(1),Naive recursion is O(2^n) and times out
18,Print the Fibonacci series up to n terms,Number,Easy,Very High,Same rolling pair inside a loop,O(n),O(1),Off-by-one on how many terms to print
19,Check if a number is prime,Number,Easy,Very High,Trial division up to sqrt(n),O(sqrt n),O(1),Looping to n is too slow; 1 is not prime; handle n<2
20,Print all primes in an interval,Number,Easy,High,Sieve of Eratosthenes for a range,O(n log log n),O(n),Re-running an is_prime check per number is slower
21,Check if a number is an Armstrong number,Number,Easy,Very High,Sum each digit to the power of the digit count,O(d),O(1),Hardcoding power 3 — it must equal the number of digits
22,Sum the digits of a number,Number,Easy,High,Repeated mod 10 and floor divide,O(d),O(1),Forgetting to handle negative input
23,Reverse the digits of a number,Number,Easy,High,Build with r = r*10 + n%10,O(d),O(1),Losing the sign; trailing zeros disappear (120 to 21)
24,Check if a number is a palindrome,Number,Easy,High,Compare to its digit reversal,O(d),O(1),Negative numbers are never palindromes
25,Greatest common divisor (GCD),Number,Easy,High,"Euclid: while b: a, b = b, a%b",O(log n),O(1),Looping over all candidates instead of using Euclid
26,Least common multiple (LCM),Number,Easy,Medium,"a*b // gcd(a, b)",O(log n),O(1),Integer division matters; a*b can be large
27,Check if a number is a perfect number,Number,Easy,Medium,Sum proper divisors up to sqrt(n),O(sqrt n),O(1),Including n itself in the divisor sum
28,Count the digits in a number,Number,Easy,Medium,len(str(abs(n))) or repeated division,O(d),O(1),0 has one digit not zero digits
29,Swap two numbers without a temp variable,Number,Easy,Medium,"a, b = b, a",O(1),O(1),Reaching for XOR when tuple unpacking is idiomatic
30,Check if a number is even or odd,Number,Easy,Very High,n % 2 == 0,O(1),O(1),n % 2 == 1 is False for negative odd numbers in Python
31,Find the largest of three numbers,Number,Easy,High,"max(a, b, c)",O(1),O(1),Long if-elif chains instead of max
32,Multiplication table of a number,Number,Easy,Medium,Loop 1 to 10 and print,O(1),O(1),Range bounds excluding 10
33,Check if a number is a power of two,Number,Easy,Medium,n > 0 and n & (n-1) == 0,O(1),O(1),Forgetting the n > 0 guard — 0 passes the bit test
34,Sum of squares of the first n naturals,Number,Easy,Low,n(n+1)(2n+1)//6 or a loop,O(1),O(1),Floating division instead of integer division
35,Convert decimal to binary,Number,Easy,Medium,bin(n)[2:] or repeated mod 2,O(log n),O(log n),Forgetting to strip the '0b' prefix
36,Check if a year is a leap year,Number,Easy,Medium,Divisible by 4 and (not by 100 or by 400),O(1),O(1),Omitting the 400 rule — 1900 is not a leap year
37,Simple and compound interest,Number,Easy,Low,Direct formula,O(1),O(1),Integer division truncating the rate
38,Sum all elements in a list,List,Easy,Very High,sum(lst),O(n),O(1),Manual accumulation loop when sum exists
39,Find the largest and smallest in a list,List,Easy,Very High,max(lst) and min(lst),O(n),O(1),ValueError on an empty list
40,Find the second largest in a list,List,Easy,Very High,Single pass tracking the two best,O(n),O(1),sorted()[-2] fails when duplicates tie for largest
41,Reverse a list,List,Easy,High,lst[::-1] for a copy or lst.reverse() in place,O(n),O(n) / O(1),reverse() returns None — a very common bug
42,Remove duplicates from a list,List,Easy,Very High,dict.fromkeys to keep order,O(n),O(n),set() loses order; unhashable elements raise TypeError
43,Sort a list without using sort,List,Easy,High,Bubble or insertion sort,O(n^2),O(1),Being unable to state why it is O(n^2)
44,Count element occurrences in a list,List,Easy,High,Counter or lst.count(x),O(n),O(k),Calling .count in a loop makes it O(n^2)
45,Merge two sorted lists,List,Easy,Very High,Two pointers walking both lists,O(n+m),O(n+m),Concatenating and re-sorting wastes the sorted input
46,Sum of even and odd numbers in a list,List,Easy,Medium,Filter by n % 2 and sum,O(n),O(1),Negative-odd modulo behaviour in Python
47,Move all zeroes to the end,List,Easy,High,Two pointers; swap non-zeros forward,O(n),O(1),Building a new list when in-place is expected
48,Rotate a list by k positions,List,Easy,High,lst[k:] + lst[:k] with k %= n,O(n),O(n),Not taking k modulo n when k > n
49,Find the intersection of two lists,List,Easy,High,set(a) & set(b),O(n+m),O(n),Nested loops give O(n*m); output order is not guaranteed
50,Find missing numbers in a range,List,Easy,High,"set(range(1, n+1)) - set(lst)",O(n),O(n),For exactly one missing use the n(n+1)/2 sum trick
51,Flatten a nested list,List,Easy,High,Nested comprehension or recursion for deep nesting,O(n),O(n),A comprehension only flattens one level deep
52,Check if a list is sorted,List,Easy,Medium,"all(a <= b for a, b in zip(lst, lst[1:]))",O(n),O(1),Sorting a copy to compare is O(n log n)
53,Sum of a list of lists / matrix sum,List,Easy,Medium,"sum(map(sum, matrix))",O(n),O(1),Forgetting ragged rows
